4973.5555	1000	Ne I 
4974.76	500	Ne I 
4975.961	100	Ne I 
4979.625	50	Ne I 
4994.93	1500	Ne I 
		
4996.209	20	Ne I 
4997.482	150	Ne I 
4998.502	100	Ne I 
5000.395	30	Ne I 
5003.561	20	Ne I 
5004.0036	10m	U I
5005.1587	5000	Ne I 
5005.3467	500	Ne I 
5008.21	110	U II 
5011.003	250	Ne I 
5011.4089	10m	U I
5015.187	50	Ne I 
		
5022.87	250	Ne I 
5027.38	170	U I 
5031.3484	2500	Ne I 
5031.5087	20	Ne I 
5036.0016	350	Ne I 
		
5037.5927	30	Ne I 
5037.7512	5000	Ne I 
5041.598	10	Ne I 
5042.853	150	Ne I 
5045.816	150	Ne I 
		
5046.608	30	Ne I 
5052.9443	250	Ne I 
5053.3502	10m	U I
5059.15	20	Ne I 
5063.7576	10m	U I
5074.0459	30	Ne I 
5074.2007	350	Ne I 
		
5076.5971	350	Ne I 
5076.7514	10m	U I
5078.414	22	Ne II 
5078.7693	150	Ne I 
5080.383	1500	Ne I 
5081.36	150	Ne I 
		
5083.9773	250	Ne I 
5088.2861	10m	U I
5090.321	80	Ne I 
5099.0522	250	Ne I 
5099.546	100	Ne II 
5104.7011	350	Ne I 
		
5113.602	 m 	Ne II 
5113.6724	750	Ne I 
5116.5032	1500	Ne I 
5117.0246	350	Ne I 
5117.24	70	U II 
		
5120.5059	250	Ne I 
5121.866	20	Ne I 
5122.2565	1500	Ne I 
5122.3613	1500	Ne I 
5128.28	20	Ne I 
		
5137.15	40	Ne II 
5142.3946	10m	U I
5142.8	160	Ne III 
5143.265	50	Ne I 
5144.9384	5000	Ne I 
5145.011	5000	Ne I 
		
5145.1351	350	Ne I 
5150.0842	350	Ne I 
5151.961	750	Ne I 
5154.4271	500	Ne I 
5156.6672	500	Ne I 
		
5158.9018	500	Ne I 
5160.32	80	U II 
5163.4847	100	Ne I 
5164.14	55	U I 
5178.508	140	Ne II 
5180.8773	10m	U I
5182.32	20	Ne I 
5184.57	55	U II 
5188.6122	1500	Ne I 
5189.164	120	Ne II 
5191.3223	350	Ne I 
5191.5129	10m	U I
5193.1251	1500	Ne I 
5193.224	1500	Ne I 
5197.565	80	Ne II 
5198.481	160	Ne II 
5202.24	140	Ne II 
		
5203.58	 22bl 	Ne II 
5203.8962	1500	Ne I 
5204.31	45	U II 
5205.1622	10m	U I
5206.565	30	Ne I 
5208.8648	700	Ne I 
		
5210.5672	500	Ne I 
5212.363	80	Ne II 
5213.339	140	Ne II 
5214.3389	350	Ne I 
5216.9334
5218.268	22	Ne II 
5221.8966	10m	U I
5222.3517	500	Ne I 
5231.523	80	Ne II 
5233.95	 m 	Ne II 
5234.0271	500	Ne I 
5234.637	60	Ne II 
		
5235.867	80	Ne II 
5245.834	40	Ne II 
5247.75	45	U II 
5257.04	45	U II 
5263.123	80	Ne II 
		
5274.0393	400	Ne I 
5280.0853	500	Ne I 
5280.3	7	Ne VI 
5280.38	70	U I 
5380.5381	10m	U I
5282.9	15	Ne VI 
		
5287.2	18	Ne VI 
5289.9	27	Ne VI 
5298.1891	1500	Ne I 
5304.758	700	Ne I 
